lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomo
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250227_160246
--------------------
Epoch: 0 | Train loss: None | Eval WT: 7530.457 | Eval relocs: 58.106 | 1s
Epoch: 1 | Train loss: -934.7301132049136 | Eval WT: 4309.099 | Eval relocs: 33.82 | 177s
Epoch: 2 | Train loss: -327.0517896423169 | Eval WT: 4247.712 | Eval relocs: 32.101 | 148s
Epoch: 3 | Train loss: -958.1701098815543 | Eval WT: 3249.934 | Eval relocs: 33.126 | 162s
Epoch: 4 | Train loss: -954.0525531987213 | Eval WT: 3159.271 | Eval relocs: 33.625 | 262s
Epoch: 5 | Train loss: -152.19080877274683 | Eval WT: 3140.861 | Eval relocs: 33.132 | 157s
Epoch: 6 | Train loss: -79.72186304503188 | Eval WT: 3137.435 | Eval relocs: 33.026 | 136s
Epoch: 7 | Train loss: -565.2503760385758 | Eval WT: 3135.534 | Eval relocs: 33.003 | 502s
Epoch: 8 | Train loss: -392.28293315773647 | Eval WT: 3124.581 | Eval relocs: 32.669 | 256s
Epoch: 9 | Train loss: -304.17552767340095 | Eval WT: 3120.913 | Eval relocs: 32.512 | 252s
Epoch: 10 | Train loss: -74.92004146918072 | Eval WT: 3117.1 | Eval relocs: 32.368 | 148s
Epoch: 11 | Train loss: -63.32379077218992 | Eval WT: 3117.142 | Eval relocs: 32.347 | 182s
Epoch: 12 | Train loss: -42.169268927415736 | Eval WT: 3119.267 | Eval relocs: 32.306 | 128s
Epoch: 13 | Train loss: -44.11111651526389 | Eval WT: 3117.172 | Eval relocs: 32.23 | 126s
Epoch: 14 | Train loss: -370.5940187201286 | Eval WT: 3116.761 | Eval relocs: 32.296 | 495s
Epoch: 15 | Train loss: -66.10388398360593 | Eval WT: 3118.641 | Eval relocs: 32.26 | 129s
Epoch: 16 | Train loss: -297.1386370676689 | Eval WT: 3109.95 | Eval relocs: 32.115 | 495s
Epoch: 17 | Train loss: -264.5901108482511 | Eval WT: 3107.336 | Eval relocs: 32.101 | 238s
Epoch: 18 | Train loss: -232.6996336354266 | Eval WT: 3105.528 | Eval relocs: 32.038 | 244s
Epoch: 19 | Train loss: -54.98413895152894 | Eval WT: 3103.327 | Eval relocs: 31.794 | 127s
Epoch: 20 | Train loss: -220.82655327206533 | Eval WT: 3100.984 | Eval relocs: 31.854 | 237s
Epoch: 21 | Train loss: -216.08561214494225 | Eval WT: 3095.762 | Eval relocs: 31.591 | 272s
Epoch: 22 | Train loss: -69.65263734300628 | Eval WT: 3084.177 | Eval relocs: 31.35 | 140s
Epoch: 23 | Train loss: -278.69553210452426 | Eval WT: 3086.555 | Eval relocs: 31.413 | 471s
Epoch: 24 | Train loss: -62.55049860207395 | Eval WT: 3083.791 | Eval relocs: 31.072 | 120s
Epoch: 25 | Train loss: -219.07552172333698 | Eval WT: 3080.149 | Eval relocs: 31.006 | 228s
Epoch: 26 | Train loss: -66.1732843551052 | Eval WT: 3069.66 | Eval relocs: 30.856 | 137s
Epoch: 27 | Train loss: -58.267376820206565 | Eval WT: 3068.978 | Eval relocs: 30.838 | 139s
Epoch: 28 | Train loss: -165.96413938806782 | Eval WT: 3080.29 | Eval relocs: 30.927 | 223s
Epoch: 29 | Train loss: -43.92174409381152 | Eval WT: 3073.044 | Eval relocs: 30.401 | 116s
Epoch: 30 | Train loss: -155.18480464051518 | Eval WT: 3078.755 | Eval relocs: 30.692 | 222s
Epoch: 31 | Train loss: -42.716785686417516 | Eval WT: 3071.566 | Eval relocs: 30.329 | 147s
Epoch: 32 | Train loss: -50.99222285512257 | Eval WT: 3061.86 | Eval relocs: 30.57 | 137s
Epoch: 33 | Train loss: -137.15376322795825 | Eval WT: 3073.209 | Eval relocs: 30.669 | 224s
Epoch: 34 | Train loss: -256.21837681893305 | Eval WT: 3074.161 | Eval relocs: 31.052 | 465s
Epoch: 35 | Train loss: -45.3426808785767 | Eval WT: 3063.671 | Eval relocs: 30.456 | 115s
Epoch: 36 | Train loss: -48.78728580089818 | Eval WT: 3057.807 | Eval relocs: 30.534 | 136s
Epoch: 37 | Train loss: -46.09440724065822 | Eval WT: 3057.516 | Eval relocs: 30.551 | 135s
Epoch: 38 | Train loss: -36.94022787551966 | Eval WT: 3059.041 | Eval relocs: 30.362 | 116s
Epoch: 39 | Train loss: -42.86633005035827 | Eval WT: 3055.682 | Eval relocs: 30.487 | 134s
Epoch: 40 | Train loss: -41.332473894618495 | Eval WT: 3054.581 | Eval relocs: 30.484 | 136s
Epoch: 41 | Train loss: -39.91988630141197 | Eval WT: 3055.061 | Eval relocs: 30.534 | 172s
Epoch: 42 | Train loss: -36.88797384630656 | Eval WT: 3052.679 | Eval relocs: 30.467 | 134s
Epoch: 43 | Train loss: -37.19639427933075 | Eval WT: 3051.495 | Eval relocs: 30.417 | 135s
Epoch: 44 | Train loss: -35.95136786376855 | Eval WT: 3050.365 | Eval relocs: 30.392 | 134s
