lr: 5e-06
epochs: 2000
batch_num: 100
batch_size: [64, 64, 64, 64]
mini_batch_num: [1, 1, 2, 1]
baseline: pomoZ
pomo_size: 16
eval_path: ./generator/eval_data/eval_data(35,2,4,6).pt
eval_batch_size: 1024
empty_priority: None
norm_priority: True
add_fill_ratio: True
norm_layout: True
add_layout_ratio: True
add_travel_time: True
train_data_idx: None
train_data_sampler: uniform
n_containers: [35, 35, 70, 46]
n_bays: [1, 2, 4, 2]
n_rows: [8, 4, 4, 4]
n_tiers: [6, 6, 6, 8]
instance_type: random
objective: workingtime
load_model_path: None
embed_dim: 128
n_encode_layers: 3
n_heads: 8
ff_hidden: 512
tanh_c: 10
device: cuda:0
log_path: ./results/20250227_195410
--------------------
Epoch: 0 | Train loss: None | Eval WT: 6263.924 | Eval relocs: 54.781 | 1s
Epoch: 1 | Train loss: -5.554241718866817 | Eval WT: 3450.839 | Eval relocs: 35.246 | 203s
Epoch: 2 | Train loss: -7.40214899323047 | Eval WT: 3240.381 | Eval relocs: 34.072 | 313s
Epoch: 3 | Train loss: -3.558680126476256 | Eval WT: 3203.738 | Eval relocs: 32.941 | 161s
Epoch: 4 | Train loss: -2.5082824515369313 | Eval WT: 3144.007 | Eval relocs: 32.982 | 172s
Epoch: 5 | Train loss: -3.5411544743005936 | Eval WT: 3133.688 | Eval relocs: 32.751 | 290s
Epoch: 6 | Train loss: -4.207239452212039 | Eval WT: 3128.765 | Eval relocs: 32.722 | 583s
Epoch: 7 | Train loss: -1.8977490482887733 | Eval WT: 3136.251 | Eval relocs: 32.738 | 154s
Epoch: 8 | Train loss: -1.5504670111034198 | Eval WT: 3132.089 | Eval relocs: 32.554 | 143s
Epoch: 9 | Train loss: -3.815945943981062 | Eval WT: 3122.548 | Eval relocs: 32.498 | 571s
Epoch: 10 | Train loss: -1.968330464845099 | Eval WT: 3117.473 | Eval relocs: 32.361 | 166s
Epoch: 11 | Train loss: -3.545895551492933 | Eval WT: 3113.692 | Eval relocs: 32.294 | 610s
Epoch: 12 | Train loss: -1.879647556012204 | Eval WT: 3117.572 | Eval relocs: 32.217 | 144s
Epoch: 13 | Train loss: -1.7985827003496546 | Eval WT: 3105.499 | Eval relocs: 31.693 | 135s
Epoch: 14 | Train loss: -3.5909904310963214 | Eval WT: 3092.104 | Eval relocs: 31.558 | 558s
Epoch: 15 | Train loss: -3.3285419894885893 | Eval WT: 3088.279 | Eval relocs: 31.333 | 267s
Epoch: 16 | Train loss: -3.477404332763297 | Eval WT: 3085.814 | Eval relocs: 31.327 | 553s
Epoch: 17 | Train loss: -1.8791080072045327 | Eval WT: 3078.629 | Eval relocs: 31.058 | 159s
Epoch: 18 | Train loss: -1.6786450734476173 | Eval WT: 3074.786 | Eval relocs: 30.901 | 156s
Epoch: 19 | Train loss: -1.5478703251599077 | Eval WT: 3074.161 | Eval relocs: 30.909 | 152s
Epoch: 20 | Train loss: -1.4821629349859429 | Eval WT: 3071.74 | Eval relocs: 30.809 | 153s
Epoch: 21 | Train loss: -2.265458835975812 | Eval WT: 3070.299 | Eval relocs: 30.698 | 293s
Epoch: 22 | Train loss: -1.3717864681028717 | Eval WT: 3068.092 | Eval relocs: 30.677 | 151s
Epoch: 23 | Train loss: -1.3113420116089989 | Eval WT: 3066.686 | Eval relocs: 30.725 | 153s
Epoch: 24 | Train loss: -1.2934009035014775 | Eval WT: 3066.611 | Eval relocs: 30.768 | 153s
Epoch: 25 | Train loss: -1.9534612449569162 | Eval WT: 3067.712 | Eval relocs: 30.646 | 247s
Epoch: 26 | Train loss: -1.1775803180000226 | Eval WT: 3069.812 | Eval relocs: 30.388 | 130s
Epoch: 27 | Train loss: -2.7244160097368164 | Eval WT: 3070.388 | Eval relocs: 31.0 | 540s
Epoch: 28 | Train loss: -1.3344148886738032 | Eval WT: 3062.213 | Eval relocs: 30.652 | 151s
Epoch: 29 | Train loss: -2.613677782340214 | Eval WT: 3066.934 | Eval relocs: 30.917 | 539s
Epoch: 30 | Train loss: -1.3371737243886455 | Eval WT: 3059.802 | Eval relocs: 30.655 | 153s
Epoch: 31 | Train loss: -1.8980293054663933 | Eval WT: 3063.639 | Eval relocs: 30.613 | 287s
Epoch: 32 | Train loss: -1.13500060105813 | Eval WT: 3064.482 | Eval relocs: 30.371 | 128s
Epoch: 33 | Train loss: -1.1387611617404418 | Eval WT: 3068.866 | Eval relocs: 30.186 | 126s
Epoch: 34 | Train loss: -1.1117412953805041 | Eval WT: 3070.604 | Eval relocs: 30.146 | 125s
Epoch: 35 | Train loss: -1.1241669177737912 | Eval WT: 3071.101 | Eval relocs: 30.138 | 124s
Epoch: 36 | Train loss: -1.7012243308811121 | Eval WT: 3062.309 | Eval relocs: 30.465 | 246s
Epoch: 37 | Train loss: -1.6512913271474363 | Eval WT: 3061.476 | Eval relocs: 30.415 | 241s
Epoch: 38 | Train loss: -2.3871274895387673 | Eval WT: 3062.378 | Eval relocs: 30.799 | 529s
Epoch: 39 | Train loss: -1.142487841223719 | Eval WT: 3056.268 | Eval relocs: 30.534 | 151s
Epoch: 40 | Train loss: -2.2614583273185818 | Eval WT: 3061.37 | Eval relocs: 30.772 | 533s
Epoch: 41 | Train loss: -2.252365383455624 | Eval WT: 3059.806 | Eval relocs: 30.741 | 573s
Epoch: 42 | Train loss: -1.8486289452496178 | Eval WT: 3055.861 | Eval relocs: 30.472 | 246s
Epoch: 43 | Train loss: -0.9908007965145503 | Eval WT: 3051.284 | Eval relocs: 30.41 | 146s
Epoch: 44 | Train loss: -0.9268006019902814 | Eval WT: 3051.447 | Eval relocs: 30.405 | 147s
Epoch: 45 | Train loss: -1.4390560059038324 | Eval WT: 3053.296 | Eval relocs: 30.404 | 240s
Epoch: 46 | Train loss: -2.077881992068762 | Eval WT: 3055.113 | Eval relocs: 30.59 | 528s
Epoch: 47 | Train loss: -0.98356698028123 | Eval WT: 3049.052 | Eval relocs: 30.371 | 145s
Epoch: 48 | Train loss: -0.8716372770783081 | Eval WT: 3049.005 | Eval relocs: 30.341 | 147s
Epoch: 49 | Train loss: -0.9486547437226396 | Eval WT: 3058.362 | Eval relocs: 30.177 | 128s
Epoch: 50 | Train loss: -0.9726523554251996 | Eval WT: 3060.469 | Eval relocs: 30.007 | 122s
Epoch: 51 | Train loss: -0.9355189312053508 | Eval WT: 3066.871 | Eval relocs: 29.854 | 162s
Epoch: 52 | Train loss: -1.3699091203229292 | Eval WT: 3049.993 | Eval relocs: 30.213 | 238s
Epoch: 53 | Train loss: -0.9407171396581123 | Eval WT: 3054.224 | Eval relocs: 30.066 | 122s
Epoch: 54 | Train loss: -0.8348956203807394 | Eval WT: 3049.688 | Eval relocs: 30.314 | 144s
Epoch: 55 | Train loss: -1.274814571982895 | Eval WT: 3050.61 | Eval relocs: 30.271 | 241s
Epoch: 56 | Train loss: -0.8194771715762498 | Eval WT: 3047.951 | Eval relocs: 30.304 | 144s
Epoch: 57 | Train loss: -0.8797255808504246 | Eval WT: 3049.868 | Eval relocs: 30.126 | 123s
Epoch: 58 | Train loss: -1.246120194153306 | Eval WT: 3049.294 | Eval relocs: 30.211 | 237s
Epoch: 59 | Train loss: -1.9623601175475534 | Eval WT: 3052.257 | Eval relocs: 30.495 | 524s
Epoch: 60 | Train loss: -0.9842002500543948 | Eval WT: 3046.07 | Eval relocs: 30.166 | 124s
Epoch: 61 | Train loss: -1.8944339733194233 | Eval WT: 3051.28 | Eval relocs: 30.467 | 556s
Epoch: 62 | Train loss: -0.8617712407432734 | Eval WT: 3045.272 | Eval relocs: 30.243 | 145s
Epoch: 63 | Train loss: -0.7560156575326329 | Eval WT: 3045.265 | Eval relocs: 30.248 | 146s
Epoch: 64 | Train loss: -1.1930930843987264 | Eval WT: 3045.257 | Eval relocs: 30.179 | 239s
Epoch: 65 | Train loss: -0.8703415897385388 | Eval WT: 3045.168 | Eval relocs: 30.072 | 123s
Epoch: 66 | Train loss: -1.142574993608917 | Eval WT: 3044.683 | Eval relocs: 30.115 | 238s
Epoch: 67 | Train loss: -0.8533054055925895 | Eval WT: 3044.713 | Eval relocs: 30.019 | 122s
Epoch: 68 | Train loss: -0.6990322796527143 | Eval WT: 3043.206 | Eval relocs: 30.173 | 146s
Epoch: 69 | Train loss: -1.1305321281472305 | Eval WT: 3045.174 | Eval relocs: 30.146 | 235s
Epoch: 70 | Train loss: -1.110809224215819 | Eval WT: 3044.483 | Eval relocs: 30.147 | 239s
Epoch: 71 | Train loss: -0.6925558248975883 | Eval WT: 3042.118 | Eval relocs: 30.154 | 183s
Epoch: 72 | Train loss: -0.6614112741392278 | Eval WT: 3041.218 | Eval relocs: 30.123 | 144s
Epoch: 73 | Train loss: -0.6549835937704441 | Eval WT: 3040.843 | Eval relocs: 30.129 | 142s
Epoch: 74 | Train loss: -0.7853537978820139 | Eval WT: 3043.118 | Eval relocs: 30.042 | 123s
Epoch: 75 | Train loss: -0.6581171944721457 | Eval WT: 3041.399 | Eval relocs: 30.131 | 143s
Epoch: 76 | Train loss: -0.772313127833138 | Eval WT: 3042.584 | Eval relocs: 30.035 | 120s
Epoch: 77 | Train loss: -0.6333109555501779 | Eval WT: 3039.124 | Eval relocs: 30.066 | 142s
Epoch: 78 | Train loss: -0.6399549420089731 | Eval WT: 3038.283 | Eval relocs: 30.06 | 142s
Epoch: 79 | Train loss: -0.629796656255291 | Eval WT: 3038.335 | Eval relocs: 30.071 | 142s
Epoch: 80 | Train loss: -0.6329293710433881 | Eval WT: 3039.278 | Eval relocs: 30.086 | 142s
Epoch: 81 | Train loss: -0.7348499718959925 | Eval WT: 3040.934 | Eval relocs: 30.052 | 161s
Epoch: 82 | Train loss: -0.749380064354452 | Eval WT: 3041.573 | Eval relocs: 29.959 | 120s
Epoch: 83 | Train loss: -0.7675514800565781 | Eval WT: 3043.445 | Eval relocs: 29.924 | 121s
Epoch: 84 | Train loss: -0.7666192841230624 | Eval WT: 3044.513 | Eval relocs: 29.892 | 120s
Epoch: 85 | Train loss: -0.7617344860249815 | Eval WT: 3047.139 | Eval relocs: 29.937 | 119s
Epoch: 86 | Train loss: -1.7523052545132267 | Eval WT: 3047.88 | Eval relocs: 30.385 | 518s
Epoch: 87 | Train loss: -0.8189795758417742 | Eval WT: 3040.964 | Eval relocs: 30.091 | 120s
Epoch: 88 | Train loss: -0.6389368394364068 | Eval WT: 3037.884 | Eval relocs: 30.052 | 143s
Epoch: 89 | Train loss: -1.5717303154882265 | Eval WT: 3042.867 | Eval relocs: 30.229 | 515s
Epoch: 90 | Train loss: -1.0957621919964118 | Eval WT: 3041.011 | Eval relocs: 30.082 | 234s
Epoch: 91 | Train loss: -0.9741945847076843 | Eval WT: 3039.943 | Eval relocs: 30.031 | 274s
Epoch: 92 | Train loss: -0.7723354536910334 | Eval WT: 3037.427 | Eval relocs: 29.937 | 120s
Epoch: 93 | Train loss: -0.9330909294117875 | Eval WT: 3040.924 | Eval relocs: 30.031 | 235s
Epoch: 94 | Train loss: -0.7750519921643021 | Eval WT: 3040.251 | Eval relocs: 29.948 | 121s
Epoch: 95 | Train loss: -0.5930341632754739 | Eval WT: 3035.929 | Eval relocs: 29.973 | 141s
Epoch: 96 | Train loss: -0.5692680253462874 | Eval WT: 3035.942 | Eval relocs: 29.984 | 142s
Epoch: 97 | Train loss: -0.5654000317038598 | Eval WT: 3035.268 | Eval relocs: 29.99 | 141s
Epoch: 98 | Train loss: -1.4681064433302935 | Eval WT: 3040.621 | Eval relocs: 30.174 | 513s
Epoch: 99 | Train loss: -0.6082161468335647 | Eval WT: 3035.606 | Eval relocs: 30.002 | 143s
Epoch: 100 | Train loss: -1.3317022482800869 | Eval WT: 3042.337 | Eval relocs: 30.222 | 509s
Epoch: 101 | Train loss: -0.9822665867714946 | Eval WT: 3036.319 | Eval relocs: 29.993 | 277s
Epoch: 102 | Train loss: -0.7675824752959179 | Eval WT: 3036.455 | Eval relocs: 29.95 | 120s
Epoch: 103 | Train loss: -0.8763072806052428 | Eval WT: 3038.492 | Eval relocs: 29.999 | 231s
Epoch: 104 | Train loss: -0.8668267031633894 | Eval WT: 3038.229 | Eval relocs: 29.998 | 232s
Epoch: 105 | Train loss: -1.3356223073748377 | Eval WT: 3037.82 | Eval relocs: 30.074 | 507s
Epoch: 106 | Train loss: -0.9276375019564608 | Eval WT: 3039.109 | Eval relocs: 30.036 | 233s
Epoch: 107 | Train loss: -0.7396542107138242 | Eval WT: 3035.856 | Eval relocs: 29.881 | 121s
Epoch: 108 | Train loss: -0.7303399789530354 | Eval WT: 3037.888 | Eval relocs: 29.915 | 119s
Epoch: 109 | Train loss: -0.7129250411944854 | Eval WT: 3038.636 | Eval relocs: 29.881 | 118s
Epoch: 110 | Train loss: -0.7256625489440922 | Eval WT: 3037.665 | Eval relocs: 29.839 | 118s
Epoch: 111 | Train loss: -0.8432313740862218 | Eval WT: 3038.145 | Eval relocs: 29.96 | 270s
Epoch: 112 | Train loss: -1.3030181700720331 | Eval WT: 3039.048 | Eval relocs: 30.109 | 508s
Epoch: 113 | Train loss: -1.1829256766368816 | Eval WT: 3038.773 | Eval relocs: 30.118 | 509s
Epoch: 114 | Train loss: -0.9211213192696399 | Eval WT: 3035.021 | Eval relocs: 29.941 | 234s
Epoch: 115 | Train loss: -0.5600440227242826 | Eval WT: 3033.509 | Eval relocs: 29.928 | 141s
Epoch: 116 | Train loss: -0.5246519118734274 | Eval WT: 3032.404 | Eval relocs: 29.93 | 140s
Epoch: 117 | Train loss: -1.2028148143079012 | Eval WT: 3036.539 | Eval relocs: 30.062 | 507s
Epoch: 118 | Train loss: -0.8977380876612056 | Eval WT: 3032.649 | Eval relocs: 29.886 | 232s
Epoch: 119 | Train loss: -1.137122249451251 | Eval WT: 3035.869 | Eval relocs: 30.03 | 506s
